label_name	auc
r	0.8798563500773756
php	0.9107270532336248
mysql	0.8075720642191293
c#	0.8912746436792023
javascript	0.9197054672914393
jquery	0.8146114881549448
java	0.9025005595780791
ruby-on-rails	0.8857397235776595
ruby	0.7486070502013464
ruby-on-rails-3	0.5828607535639349
json	0.8578680715213897
spring	0.861224416774009
spring-mvc	0.7571731000359951
codeigniter	0.9145912348128122
class	0.5790340193990621
html	0.6887186469917042
ios	0.8267547491067737
c++	0.8735789545555585
eclipse	0.7921664613456094
python	0.9057736125996745
list	0.7350584942233742
objective-c	0.9139217215525219
swift	0.8233947578687335
xaml	0.6295865093989753
asp.net	0.7471479165096827
wpf	0.8327099339834467
multithreading	0.7772766271755054
image	0.5839195376374134
performance	0.7410138373524411
twitter-bootstrap	0.8577733340284451
linq	0.8265333009835909
xml	0.8304248020933238
numpy	0.8253373613130205
ajax	0.7812782612114777
django	0.8805203248381576
laravel	0.9409223386534198
android	0.8166745211795575
rest	0.7477302206638022
asp.net-mvc	0.7489005381468005
web-services	0.7363739762495516
string	0.7347805862956185
excel	0.8670885597090343
winforms	0.7329193210483561
arrays	0.7965045980926431
c	0.8187057178231243
sockets	0.8265856148209089
osx	0.7226736940387413
entity-framework	0.830100799055212
mongodb	0.894277956084477
opencv	0.8931289293200746
xcode	0.6159939455095863
uitableview	0.8492651803433194
algorithm	0.6604732070505684
python-2.7	0.49998325631237023
angularjs	0.9372134889688838
dom	0.6079729461013581
swing	0.8572827941991374
.net	0.5542178593615571
vb.net	0.7130170106961129
google-maps	0.8899081963350396
hibernate	0.8868947606499406
wordpress	0.8465922514373083
iphone	0.6445289930963128
sql	0.6076503651156526
visual-studio	0.584510867762595
linux	0.6576627532760506
facebook	0.9309819034852547
database	0.5274705154381596
file	0.5783456264709199
generics	0.8159041075254418
visual-studio-2010	0.5833461815649015
regex	0.8591552567407159
html5	0.6503902623305609
jsp	0.7878081752204695
csv	0.8619425690655813
forms	0.6699197487746132
validation	0.7586611970405351
parsing	0.5974038064691614
function	0.5201904297041899
pandas	0.9086084359450737
sorting	0.8134733750815386
qt	0.9143797806530913
wcf	0.841796682274546
css	0.662750010925186
date	0.7666976347367406
node.js	0.8401567598671866
sql-server	0.6776753224373079
unit-testing	0.7293132328308207
python-3.x	0.5890851527133115
loops	0.585223155605417
windows	0.6178216792623573
pointers	0.7864140609946938
oop	0.5726400703409505
datetime	0.6931694215564447
servlets	0.7372196111179999
session	0.7366967871485944
cocoa-touch	0.5033783783783784
apache	0.6038484726688103
selenium	0.889295128906597
maven	0.7910655100045076
